City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,airai,-8.9266,125.4092,16.95,94,100,0.59,TL,1681686654
212,abnub,27.2696,31.1511,23.27,16,0,3.55,EG,1681686654
213,cherskiy,68.75,161.3,-5.43,70,32,2.84,RU,1681686522
214,tshikapa,-6.4167,20.8,21.72,97,100,0.97,CD,1681686654
215,pochutla,15.7432,-96.4661,31.01,53,30,3.37,MX,1681686655
216,andros,37.8333,24.9333,15.54,81,100,5.09,GR,1681686655
217,wangkui,46.8333,126.5,6.39,32,32,4.41,CN,1681686655
218,biloela,-24.4167,150.5,24.09,50,100,3.35,AU,1681686655
219,klyuchi,52.2667,79.1667,-3.77,94,100,4.81,RU,1681686353
220,junction city,39.0286,-96.8314,18.0,19,0,7.72,US,1681686656
221,havelian,34.0536,73.1657,20.46,44,95,3.88,PK,1681686656
222,nantucket,41.2835,-70.0995,13.08,94,100,4.12,US,1681686629
223,susanville,40.4163,-120.653,16.91,17,0,8.23,US,1681686657
224,stonewall,50.1344,-97.3268,9.45,47,0,6.06,CA,1681686657
225,balotra,25.8333,72.2333,27.3,44,2,4.6,IN,1681686436
226,camocim,-2.9022,-40.8411,28.04,79,100,5.96,BR,1681686658
227,bandarbeyla,9.4942,50.8122,27.11,73,51,2.42,SO,1681686461
228,ca mau,9.1769,105.15,25.62,86,51,1.3,VN,1681686658
229,fort nelson,58.8053,-122.7002,9.23,61,100,2.2,CA,1681686658
230,hofn,64.2539,-15.2082,6.42,100,100,3.05,IS,1681686659
231,te anau,-45.4167,167.7167,16.08,65,96,1.66,NZ,1681686650
232,bathsheba,13.2167,-59.5167,26.34,73,40,6.69,BB,1681686661
233,natal,-5.795,-35.2094,25.36,94,75,1.54,BR,1681686644
234,kaeo,-35.1,173.7833,21.29,80,73,8.41,NZ,1681686661
235,asfi,32.2994,-9.2372,17.69,77,0,5.84,MA,1681686662
236,buchanan,5.8808,-10.0467,26.57,84,75,1.6,LR,1681686662
237,shaunavon,49.6501,-108.4181,11.74,48,15,6.58,CA,1681686663
238,gorodovikovsk,46.0878,41.9335,3.5,45,91,7.49,RU,1681686663
239,geraldton,-28.7667,114.6,12.23,94,100,2.06,AU,1681686398
